Year,Type,Value
2021,"albany-schenectady-troy, ny",372783.33
2020,"albany-schenectady-troy, ny",326258.33
2019,"albany-schenectady-troy, ny",297317.11
2021,"alexandria, la",200066.67
2020,"alexandria, la",206958.29
2019,"alexandria, la",188410.42
2021,"anchorage, ak",351833.33
2020,"anchorage, ak",327510.21
2019,"anchorage, ak",317977.98
2021,"atlantic city-hammonton, nj",249533.33
2020,"atlantic city-hammonton, nj",254087.50
2019,"atlantic city-hammonton, nj",255340.06
2021,"auburn-opelika, al",317929.67
2020,"auburn-opelika, al",291571.13
2019,"auburn-opelika, al",283984.55
2021,"baton rouge, la",283923.33
2020,"baton rouge, la",261677.83
2019,"baton rouge, la",244560.42
2021,"beaumont-port arthur, tx",218416.67
2020,"beaumont-port arthur, tx",207387.50
2019,"beaumont-port arthur, tx",192230.04
2021,"bellingham, wa",458300.00
2020,"bellingham, wa",454002.08
2019,"bellingham, wa",440240.18
2021,"bismarck, nd",312733.33
2020,"bismarck, nd",286845.42
2019,"bismarck, nd",271141.79
2021,"bloomington, il",114233.33
2020,"bloomington, il",131862.50
2019,"bloomington, il",145018.45
2021,"brownsville-harlingen, tx",279116.67
2020,"brownsville-harlingen, tx",256090.63
2019,"brownsville-harlingen, tx",234656.55
2021,"champaign-urbana, il",163583.33
2020,"champaign-urbana, il",183216.67
2019,"champaign-urbana, il",172107.74
2021,"davenport-moline-rock island, ia-il",148283.33
2020,"davenport-moline-rock island, ia-il",156275.00
2019,"davenport-moline-rock island, ia-il",150400.00
2021,"des moines-west des moines, ia",287534.17
2020,"des moines-west des moines, ia",272850.63
2019,"des moines-west des moines, ia",278551.95
2021,"dothan, al",195216.50
2020,"dothan, al",200595.83
2019,"dothan, al",185027.38
2021,"el paso, tx",237108.33
2020,"el paso, tx",210545.33
2019,"el paso, tx",190697.64
2021,"houma-thibodaux, la",213100.00
2020,"houma-thibodaux, la",196116.63
2019,"houma-thibodaux, la",197381.49
2021,"houston-the woodlands-sugar land, tx",345008.00
2020,"houston-the woodlands-sugar land, tx",322205.54
2019,"houston-the woodlands-sugar land, tx",314012.03
2021,"huntsville, al",364473.00
2020,"huntsville, al",295456.88
2019,"huntsville, al",269891.46
2021,"kahului-wailuku-lahaina, hi",827666.67
2020,"kahului-wailuku-lahaina, hi",850037.50
2019,"kahului-wailuku-lahaina, hi",950007.24
2021,"kingston, ny",376650.00
2020,"kingston, ny",355316.63
2019,"kingston, ny",325895.38
2021,"lafayette, la",234490.00
2020,"lafayette, la",222983.25
2019,"lafayette, la",215257.06
2021,"lake charles, la",239311.50
2020,"lake charles, la",223322.92
2019,"lake charles, la",234655.18
2021,"lexington-fayette, ky",344004.00
2020,"lexington-fayette, ky",322528.92
2019,"lexington-fayette, ky",295454.02
2021,"lincoln, ne",370116.67
2020,"lincoln, ne",328233.38
2019,"lincoln, ne",302094.93
2021,"los angeles-long beach-anaheim, ca",1177666.67
2020,"los angeles-long beach-anaheim, ca",968645.00
2019,"los angeles-long beach-anaheim, ca",802819.70
2021,"mcallen-edinburg-mission, tx",234499.83
2020,"mcallen-edinburg-mission, tx",212733.21
2019,"mcallen-edinburg-mission, tx",195813.74
2021,"miami-fort lauderdale-west palm beach, fl",400650.00
2020,"miami-fort lauderdale-west palm beach, fl",406168.58
2019,"miami-fort lauderdale-west palm beach, fl",402809.92
2021,"midland, tx",320150.00
2020,"midland, tx",347141.63
2019,"midland, tx",373398.28
2021,"monroe, la",231046.67
2020,"monroe, la",225448.33
2019,"monroe, la",207642.86
2021,"montgomery, al",224216.67
2020,"montgomery, al",231083.33
2019,"montgomery, al",213939.11
2021,"myrtle beach-conway-north myrtle beach, sc-nc",264984.17
2020,"myrtle beach-conway-north myrtle beach, sc-nc",261665.00
2019,"myrtle beach-conway-north myrtle beach, sc-nc",263107.93
2021,"new york-newark-jersey city, ny-nj-pa",629000.00
2020,"new york-newark-jersey city, ny-nj-pa",594730.46
2019,"new york-newark-jersey city, ny-nj-pa",550405.82
2021,"ocala, fl",224547.50
2020,"ocala, fl",224547.50
2019,"ocala, fl",206894.52
2021,"odessa, tx",236666.67
2020,"odessa, tx",273137.50
2019,"odessa, tx",301699.11
2021,"peoria, il",105350.00
2020,"peoria, il",126712.08
2019,"peoria, il",133719.64
2021,"rochester, mn",346400.00
2020,"rochester, mn",321262.50
2019,"rochester, mn",312560.71
2021,"salisbury, md-de",373133.33
2020,"salisbury, md-de",346337.92
2019,"salisbury, md-de",328836.37
2021,"san diego-carlsbad, ca",870665.00
2020,"san diego-carlsbad, ca",767545.83
2019,"san diego-carlsbad, ca",705812.18
2021,"shreveport-bossier city, la",173566.67
2020,"shreveport-bossier city, la",195121.88
2019,"shreveport-bossier city, la",195877.98
2021,"springfield, il",132699.83
2020,"springfield, il",144800.00
2019,"springfield, il",146863.69
2021,"st. louis, mo-il",260433.33
2020,"st. louis, mo-il",238907.04
2019,"st. louis, mo-il",223574.30
2021,"tuscaloosa, al",266532.50
2020,"tuscaloosa, al",248783.13
2019,"tuscaloosa, al",231331.55
2021,"urban honolulu, hi",608983.33
2020,"urban honolulu, hi",618620.83
2019,"urban honolulu, hi",690630.95
2021,"utica-rome, ny",173933.33
2020,"utica-rome, ny",160995.83
2019,"utica-rome, ny",150398.81
2021,"wheeling, wv-oh",126983.33
2020,"wheeling, wv-oh",129473.08
2019,"wheeling, wv-oh",128496.43
