Year,Type,Value
2010,Candy,47
2010,Flowers,36
2010,Jewelry,15
2010,Greeting cards,55
2010,An evening out,36
2010,Clothing,14
2010,Gift card/gift certificate,11
2011,Candy,48
2011,Flowers,34
2011,Jewelry,17
2011,Greeting cards,52
2011,An evening out,35
2011,Clothing,14
2011,Gift card/gift certificate,13
2012,Candy,51
2012,Flowers,36
2012,Jewelry,19
2012,Greeting cards,52
2012,An evening out,36
2012,Clothing,15
2012,Gift card/gift certificate,13
2013,Candy,51
2013,Flowers,37
2013,Jewelry,20
2013,Greeting cards,55
2013,An evening out,36
2013,Clothing,16
2013,Gift card/gift certificate,15
2014,Candy,49
2014,Flowers,37
2014,Jewelry,19
2014,Greeting cards,51
2014,An evening out,37
2014,Clothing,16
2014,Gift card/gift certificate,14
2015,Candy,53
2015,Flowers,38
2015,Jewelry,21
2015,Greeting cards,51
2015,An evening out,35
2015,Clothing,16
2015,Gift card/gift certificate,15
2016,Candy,50
2016,Flowers,36
2016,Jewelry,20
2016,Greeting cards,48
2016,An evening out,38
2016,Clothing,17
2016,Gift card/gift certificate,15
2017,Candy,50
2017,Flowers,35
2017,Jewelry,19
2017,Greeting cards,47
2017,An evening out,37
2017,Clothing,18
2017,Gift card/gift certificate,16
2018,Candy,55
2018,Flowers,36
2018,Jewelry,19
2018,Greeting cards,46
2018,An evening out,36
2018,Clothing,17
2018,Gift card/gift certificate,15
2019,Candy,52
2019,Flowers,35
2019,Jewelry,18
2019,Greeting cards,44
2019,An evening out,35
2019,Clothing,18
2019,Gift card/gift certificate,15
2020,Candy,52
2020,Flowers,37
2020,Jewelry,21
2020,Greeting cards,43
2020,An evening out,34
2020,Clothing,20
2020,Gift card/gift certificate,19
2021,Candy,54
2021,Flowers,36
2021,Jewelry,18
2021,Greeting cards,44
2021,An evening out,24
2021,Clothing,18
2021,Gift card/gift certificate,21
