Year,Area,Inven,List
2021,"abilene, tx",45.48494983,213950
2021,"abilene, tx",42.47491639,217200
2021,"abilene, tx",79.26421405,218000
2021,"akron, oh",81.27090301,179500
2021,"akron, oh",67.22408027,153950
2021,"akron, oh",81.93979933,145000
2021,"albany-schenectady-troy, ny",8.026755853,379450
2021,"albany-schenectady-troy, ny",8.695652174,379000
2021,"albany-schenectady-troy, ny",9.698996656,359900
2021,"albany, ga",31.43812709,127400
2021,"albany, ga",17.05685619,142400
2021,"albany, ga",22.40802676,145000
2021,"albuquerque, nm",78.92976589,364500
2021,"albuquerque, nm",87.2909699,342500
2021,"albuquerque, nm",79.26421405,349900
2021,"alexandria, la",12.37458194,182700
2021,"alexandria, la",10.03344482,207500
2021,"alexandria, la",8.695652174,210000
2021,"allentown-bethlehem-easton, pa-nj",69.23076923,324950
2021,"allentown-bethlehem-easton, pa-nj",36.4548495,323995
2021,"allentown-bethlehem-easton, pa-nj",51.17056856,299900
2021,"amarillo, tx",60.86956522,337250
2021,"amarillo, tx",73.57859532,316450
2021,"amarillo, tx",51.17056856,279500
2021,"anchorage, ak",27.75919732,376000
2021,"anchorage, ak",37.12374582,349500
2021,"anchorage, ak",21.07023411,330000
2021,"ann arbor, mi",60.86956522,456990
2021,"ann arbor, mi",28.76254181,444600
2021,"ann arbor, mi",21.07023411,431340
2021,"appleton, wi",81.27090301,302400
2021,"appleton, wi",59.19732441,321900
2021,"appleton, wi",68.56187291,329900
2021,"asheville, nc",5.351170569,492000
2021,"asheville, nc",7.692307692,475000
2021,"asheville, nc",9.698996656,479640
2021,"athens-clarke county, ga",56.18729097,399900
2021,"athens-clarke county, ga",46.15384615,390000
2021,"athens-clarke county, ga",74.5819398,374900
2021,"atlanta-sandy springs-roswell, ga",80.26755853,394500
2021,"atlanta-sandy springs-roswell, ga",83.27759197,377500
2021,"atlanta-sandy springs-roswell, ga",85.95317726,365000
2021,"atlantic city-hammonton, nj",16.05351171,249250
2021,"atlantic city-hammonton, nj",19.06354515,249450
2021,"atlantic city-hammonton, nj",20.06688963,249900
2021,"auburn-opelika, al",33.11036789,324482.5
2021,"auburn-opelika, al",32.44147157,320306.5
2021,"auburn-opelika, al",14.04682274,309000
2021,"augusta-richmond county, ga-sc",31.43812709,269900
2021,"augusta-richmond county, ga-sc",48.82943144,266900
2021,"augusta-richmond county, ga-sc",68.56187291,258500
2021,"austin-round rock, tx",96.32107023,520000
2021,"austin-round rock, tx",94.64882943,494000
2021,"austin-round rock, tx",77.25752508,460000
2021,"bakersfield, ca",78.59531773,298495
2021,"bakersfield, ca",82.60869565,284850
2021,"bakersfield, ca",98.66220736,280000
2021,"baltimore-columbia-towson, md",82.94314381,334950
2021,"baltimore-columbia-towson, md",70.90301003,322450
2021,"baltimore-columbia-towson, md",68.56187291,324900
2021,"bangor, me",4.347826087,227450
2021,"bangor, me",8.361204013,219450
2021,"bangor, me",11.70568562,189900
2021,"barnstable town, ma",19.73244147,759950
2021,"barnstable town, ma",11.0367893,779000
2021,"barnstable town, ma",17.05685619,750000
2021,"baton rouge, la",13.71237458,293500
2021,"baton rouge, la",16.05351171,283270
2021,"baton rouge, la",15.38461538,275000
2021,"battle creek, mi",5.016722408,204045
2021,"battle creek, mi",9.698996656,166900
2021,"battle creek, mi",45.48494983,156000
2021,"beaumont-port arthur, tx",33.11036789,220450
2021,"beaumont-port arthur, tx",50.16722408,219900
2021,"beaumont-port arthur, tx",56.85618729,214900
2021,"bellingham, wa",16.05351171,480000
2021,"bellingham, wa",20.06688963,457400
2021,"bellingham, wa",3.344481605,437500
2021,"bend-redmond, or",73.57859532,589450
2021,"bend-redmond, or",66.88963211,622400
2021,"bend-redmond, or",30.76923077,549900
2021,"billings, mt",58.19397993,428500
2021,"billings, mt",55.18394649,437950
2021,"billings, mt",39.13043478,398000
2021,"binghamton, ny",6.688963211,152400
2021,"binghamton, ny",4.682274247,146950
2021,"binghamton, ny",10.70234114,143900
2021,"birmingham-hoover, al",51.17056856,267450
2021,"birmingham-hoover, al",57.52508361,269950
2021,"birmingham-hoover, al",53.51170569,263900
2021,"bismarck, nd",15.38461538,319900
2021,"bismarck, nd",20.40133779,313400
2021,"bismarck, nd",20.40133779,304900
2021,"blacksburg-christiansburg-radford, va",20.40133779,307450
2021,"blacksburg-christiansburg-radford, va",11.0367893,280250
2021,"blacksburg-christiansburg-radford, va",14.04682274,266750
2021,"bloomington, il",1.003344482,118750
2021,"bloomington, il",1.003344482,111450
2021,"bloomington, il",1.003344482,112500
2021,"bloomington, in",16.05351171,370500
2021,"bloomington, in",13.04347826,372500
2021,"bloomington, in",15.38461538,359500
2021,"boise city, id",98.3277592,500430.5
2021,"boise city, id",97.99331104,482300.5
2021,"boise city, id",89.63210702,459990
2021,"boston-cambridge-newton, ma-nh",87.62541806,694950
2021,"boston-cambridge-newton, ma-nh",82.60869565,692500
2021,"boston-cambridge-newton, ma-nh",53.51170569,669900
2021,"boulder, co",74.5819398,912500
2021,"boulder, co",47.15719064,937500
2021,"boulder, co",15.38461538,899000
2021,"bowling green, ky",45.48494983,254900
2021,"bowling green, ky",32.44147157,249900
2021,"bowling green, ky",36.12040134,249900
2021,"bremerton-silverdale, wa",95.98662207,608988.5
2021,"bremerton-silverdale, wa",86.95652174,612250
2021,"bremerton-silverdale, wa",87.95986622,475000
2021,"bridgeport-stamford-norwalk, ct",47.82608696,749500
2021,"bridgeport-stamford-norwalk, ct",28.76254181,757500
2021,"bridgeport-stamford-norwalk, ct",26.08695652,749000
2021,"brownsville-harlingen, tx",3.344481605,280000
2021,"brownsville-harlingen, tx",7.023411371,277450
2021,"brownsville-harlingen, tx",3.344481605,279900
2021,"buffalo-cheektowaga-niagara falls, ny",84.94983278,259900
2021,"buffalo-cheektowaga-niagara falls, ny",63.21070234,249900
2021,"buffalo-cheektowaga-niagara falls, ny",71.23745819,240000
2021,"burlington-south burlington, vt",13.04347826,458450
2021,"burlington-south burlington, vt",3.010033445,418000
2021,"burlington-south burlington, vt",2.675585284,409500
2021,"burlington, nc",90.96989967,302000
2021,"burlington, nc",93.31103679,275000
2021,"burlington, nc",96.32107023,296144
2021,"canton-massillon, oh",67.55852843,194894
2021,"canton-massillon, oh",81.60535117,185745
2021,"canton-massillon, oh",85.95317726,162000
2021,"cape coral-fort myers, fl",47.82608696,374950
2021,"cape coral-fort myers, fl",60.2006689,345811.5
2021,"cape coral-fort myers, fl",49.1638796,339900
2021,"cedar rapids, ia",35.11705686,234900
2021,"cedar rapids, ia",51.50501672,230475
2021,"cedar rapids, ia",14.04682274,210000
2021,"chambersburg-waynesboro, pa",47.82608696,253900
2021,"chambersburg-waynesboro, pa",58.52842809,255000
2021,"chambersburg-waynesboro, pa",77.25752508,259900
2021,"champaign-urbana, il",14.3812709,157450
2021,"champaign-urbana, il",13.71237458,163400
2021,"champaign-urbana, il",8.695652174,169900
2021,"charleston-north charleston, sc",36.12040134,568317.5
2021,"charleston-north charleston, sc",37.12374582,563490
2021,"charleston-north charleston, sc",28.09364548,529000
2021,"charleston, wv",18.72909699,134825
2021,"charleston, wv",21.40468227,139000
2021,"charleston, wv",18.72909699,148000
2021,"charlotte-concord-gastonia, nc-sc",70.90301003,414102.5
2021,"charlotte-concord-gastonia, nc-sc",84.28093645,386450
2021,"charlotte-concord-gastonia, nc-sc",68.56187291,385000
2021,"charlottesville, va",31.43812709,535400
2021,"charlottesville, va",14.71571906,532000
2021,"charlottesville, va",8.026755853,495000
2021,"chattanooga, tn-ga",51.17056856,364217.5
2021,"chattanooga, tn-ga",48.82943144,341410
2021,"chattanooga, tn-ga",33.11036789,325000
2021,"chicago-naperville-elgin, il-in-wi",66.88963211,365000
2021,"chicago-naperville-elgin, il-in-wi",74.24749164,354950
2021,"chicago-naperville-elgin, il-in-wi",56.85618729,338944
2021,"chico, ca",58.19397993,439250
2021,"chico, ca",82.27424749,449750
2021,"chico, ca",41.47157191,419900
2021,"cincinnati, oh-ky-in",40.46822742,347904
2021,"cincinnati, oh-ky-in",41.47157191,332450
2021,"cincinnati, oh-ky-in",56.85618729,309900
2021,"claremont-lebanon, nh-vt",10.70234114,305600
2021,"claremont-lebanon, nh-vt",4.682274247,299700
2021,"claremont-lebanon, nh-vt",5.685618729,299000
2021,"clarksville, tn-ky",69.89966555,324700
2021,"clarksville, tn-ky",90.30100334,298150
2021,"clarksville, tn-ky",97.99331104,288400
2021,"cleveland-elyria, oh",42.47491639,230859
2021,"cleveland-elyria, oh",36.4548495,209950
2021,"cleveland-elyria, oh",45.48494983,197900
2021,"coeur d'alene, id",92.30769231,799000
2021,"coeur d'alene, id",92.64214047,872250
2021,"coeur d'alene, id",44.14715719,850000
2021,"college station-bryan, tx",37.45819398,255250
2021,"college station-bryan, tx",34.11371237,248125
2021,"college station-bryan, tx",34.44816054,245000
2021,"colorado springs, co",95.65217391,520827
2021,"colorado springs, co",97.32441472,547961.5
2021,"colorado springs, co",92.97658863,532150
2021,"columbia, mo",87.62541806,299000
2021,"columbia, mo",88.62876254,269900
2021,"columbia, mo",46.48829431,269900
2021,"columbia, sc",77.9264214,265000
2021,"columbia, sc",78.59531773,260993
2021,"columbia, sc",87.95986622,254537
2021,"columbus, ga-al",49.1638796,187450
2021,"columbus, ga-al",63.21070234,205000
2021,"columbus, ga-al",56.85618729,199000
2021,"columbus, oh",84.94983278,329250
2021,"columbus, oh",78.59531773,324950
2021,"columbus, oh",81.93979933,307000
2021,"concord, nh",93.97993311,362450
2021,"concord, nh",91.63879599,371450
2021,"concord, nh",81.93979933,355000
2021,"corpus christi, tx",21.40468227,301788.5
2021,"corpus christi, tx",27.42474916,298700
2021,"corpus christi, tx",20.40133779,299000
2021,"crestview-fort walton beach-destin, fl",25.08361204,514922
2021,"crestview-fort walton beach-destin, fl",20.40133779,469450
2021,"crestview-fort walton beach-destin, fl",22.40802676,454900
2021,"dallas-fort worth-arlington, tx",75.91973244,383450
2021,"dallas-fort worth-arlington, tx",84.28093645,373267
2021,"dallas-fort worth-arlington, tx",89.63210702,360920
2021,"daphne-fairhope-foley, al",29.76588629,417800
2021,"daphne-fairhope-foley, al",36.12040134,389000
2021,"daphne-fairhope-foley, al",32.10702341,380000
2021,"davenport-moline-rock island, ia-il",0.334448161,149950
2021,"davenport-moline-rock island, ia-il",0.334448161,149900
2021,"davenport-moline-rock island, ia-il",0.334448161,145000
2021,"dayton, oh",64.88294314,179500
2021,"dayton, oh",50.16722408,187995
2021,"dayton, oh",71.23745819,198000
2021,"decatur, al",56.18729097,254950
2021,"decatur, al",52.5083612,242400
2021,"decatur, al",77.25752508,249900
2021,"deltona-daytona beach-ormond beach, fl",51.17056856,349650
2021,"deltona-daytona beach-ormond beach, fl",69.23076923,324245.5
2021,"deltona-daytona beach-ormond beach, fl",53.51170569,310422
2021,"denver-aurora-lakewood, co",97.32441472,557500
2021,"denver-aurora-lakewood, co",96.32107023,549950
2021,"denver-aurora-lakewood, co",85.95317726,535000
2021,"des moines-west des moines, ia",25.08361204,295512.5
2021,"des moines-west des moines, ia",22.0735786,287090
2021,"des moines-west des moines, ia",26.08695652,280000
2021,"detroit-warren-dearborn, mi",62.87625418,285950
2021,"detroit-warren-dearborn, mi",56.52173913,275000
2021,"detroit-warren-dearborn, mi",64.88294314,264900
2021,"dothan, al",21.40468227,194949.5
2021,"dothan, al",26.08695652,194700
2021,"dothan, al",22.40802676,196000
2021,"dover, de",15.05016722,343400
2021,"dover, de",25.4180602,331450
2021,"dover, de",17.05685619,320000
2021,"duluth, mn-wi",4.013377926,236500
2021,"duluth, mn-wi",2.675585284,230000
2021,"duluth, mn-wi",3.344481605,225000
2021,"durham-chapel hill, nc",64.54849498,486500
2021,"durham-chapel hill, nc",55.18394649,452302.5
2021,"durham-chapel hill, nc",45.48494983,429999
2021,"east stroudsburg, pa",37.45819398,285000
2021,"east stroudsburg, pa",38.79598662,282500
2021,"east stroudsburg, pa",53.51170569,275000
2021,"eau claire, wi",52.84280936,246862.5
2021,"eau claire, wi",38.1270903,250812.5
2021,"eau claire, wi",33.11036789,241725
2021,"el paso, tx",23.7458194,239950
2021,"el paso, tx",45.15050167,235475
2021,"el paso, tx",36.12040134,235900
2021,"elizabethtown-fort knox, ky",82.94314381,262000
2021,"elizabethtown-fort knox, ky",68.22742475,236750
2021,"elizabethtown-fort knox, ky",68.56187291,210000
2021,"elkhart-goshen, in",77.59197324,172400
2021,"elkhart-goshen, in",42.47491639,174900
2021,"elkhart-goshen, in",53.51170569,169900
2021,"erie, pa",40.46822742,145000
2021,"erie, pa",24.08026756,145000
2021,"erie, pa",17.05685619,139900
2021,"eugene, or",64.88294314,481500
2021,"eugene, or",54.18060201,449000
2021,"eugene, or",13.04347826,465000
2021,"eureka-arcata-fortuna, ca",80.26755853,439000
2021,"eureka-arcata-fortuna, ca",38.79598662,474450
2021,"eureka-arcata-fortuna, ca",36.12040134,449000
2021,"evansville, in-ky",24.74916388,174250
2021,"evansville, in-ky",30.76923077,168694
2021,"evansville, in-ky",56.85618729,159900
2021,"fargo, nd-mn",34.44816054,300765
2021,"fargo, nd-mn",60.2006689,301850
2021,"fargo, nd-mn",36.12040134,279000
2021,"fayetteville-springdale-rogers, ar-mo",45.48494983,324216
2021,"fayetteville-springdale-rogers, ar-mo",50.16722408,302000
